,,Name,,,,Time/iter, +/-,,Min,Max
,,cc_2_threads_iter_mut_1_50000,,,,"1,867,975","63,284",,"1,804,691","1,931,259"
,,cc_2_threads_iter_mut_4_50000,,,,"1,143,975","125,412",,"1,018,563","1,269,387"
,,cc_2_threads_iter_mut_8_50000,,,,"1,117,601","73,423",,"1,044,178","1,191,024"
,,cc_2_threads_iter_mut_10_50000,,,,"1,096,358","96,543",,"999,815","1,192,901"
,,vec_2_threads_iter_mut_50000,,,,"193,116","7,423",,"185,693","200,539"
,,,,,,,,,,
,,,,,,,,,,
6 Threads,Normal Iter Mut,cc_6_threads_iter_mut_1_100,,,,"371,410","15,789",,"355,621","387,199"
,,cc_6_threads_iter_mut_4_100,,,,"371,744","20,646",,"351,098","392,390"
,,cc_6_threads_iter_mut_8_100,,,,"376,821","15,860",,"360,961","392,681"
,,cc_6_threads_iter_mut_10_100,,,,"380,643","21,318",,"359,325","401,961"
,,vec_6_threads_iter_mut_100,,,,"392,834","12,243",,"380,591","405,077"
,,,,,,,,,,
,,cc_6_threads_iter_mut_1_1000,,,,"367,143","15,704",,"351,439","382,847"
,,cc_6_threads_iter_mut_4_1000,,,,"370,307","14,860",,"355,447","385,167"
,,cc_6_threads_iter_mut_8_1000,,,,"368,159","16,858",,"351,301","385,017"
,,cc_6_threads_iter_mut_10_1000,,,,"368,853","14,011",,"354,842","382,864"
,,vec_6_threads_iter_mut_1000,,,,"389,418","12,603",,"376,815","402,021"
,,,,,,,,,,
,,cc_6_threads_iter_mut_10_5000,,,,"434,599","14,596",,"420,003","449,195"
,,cc_6_threads_iter_mut_1_5000,,,,"739,802","33,357",,"706,445","773,159"
,,cc_6_threads_iter_mut_4_5000,,,,"446,430","14,668",,"431,762","461,098"
,,cc_6_threads_iter_mut_8_5000,,,,"436,690","15,100",,"421,590","451,790"
,,vec_6_threads_iter_mut_5000,,,,"394,411","14,104",,"380,307","408,515"
,,,,,,,,,,
,,cc_6_threads_iter_mut_1_10000,,,,"1,215,575","76,684",,"1,138,891","1,292,259"
,,cc_6_threads_iter_mut_4_10000,,,,"635,768","16,315",,"619,453","652,083"
,,cc_6_threads_iter_mut_8_10000,,,,"563,533","12,444",,"551,089","575,977"
,,cc_6_threads_iter_mut_10_10000,,,,"557,598","15,046",,"542,552","572,644"
,,vec_6_threads_iter_mut_10000,,,,"402,453","14,307",,"388,146","416,760"
,,,,,,,,,,
,,cc_6_threads_iter_mut_1_50000,,,,"5,084,530","280,081",,"4,804,449","5,364,611"
,,cc_6_threads_iter_mut_4_50000,,,,"2,068,247","87,363",,"1,980,884","2,155,610"
,,cc_6_threads_iter_mut_8_50000,,,,"1,654,367","83,239",,"1,571,128","1,737,606"
,,cc_6_threads_iter_mut_10_50000,,,,"1,646,022","62,547",,"1,583,475","1,708,569"
,,vec_6_threads_iter_mut_50000,,,,"412,582","22,070",,"390,512","434,652"
,,,,,,,,,,
,,,,,,,,,,
No Threads,Streaming Iter Mut,cc_no_threads_iter_streaming_mut_1_100,,,,487,57,,430,544
,,cc_no_threads_iter_streaming_mut_4_100,,,,579,71,,508,650
,,cc_no_threads_iter_streaming_mut_8_100,,,,673,198,,475,871
,,cc_no_threads_iter_streaming_mut_10_100,,,,793,263,,530,1056
,,vec_no_threads_iter_mut_100,,,,55,5,,50,60
,,,,,,,,,,
,,cc_no_threads_iter_streaming_mut_1_1000,,,,"3,530",142,,"3,388","3,672"
,,cc_no_threads_iter_streaming_mut_4_1000,,,,"3,599",465,,"3,134","4,064"
,,cc_no_threads_iter_streaming_mut_8_1000,,,,"3,807",454,,"3,353","4,261"
,,cc_no_threads_iter_streaming_mut_10_1000,,,,"3,993",593,,"3,400","4,586"
,,vec_no_threads_iter_mut_1000,,,,512,22,,490,534
,,,,,,,,,,
,,cc_no_threads_iter_streaming_mut_1_5000,,,,"17,733","1,251",,"16,482","18,984"
,,cc_no_threads_iter_streaming_mut_4_5000,,,,"17,581","2,462",,"15,119","20,043"
,,cc_no_threads_iter_streaming_mut_8_5000,,,,"17,688","1,824",,"15,864","19,512"
,,cc_no_threads_iter_streaming_mut_10_5000,,,,"17,806","1,595",,"16,211","19,401"
,,vec_no_threads_iter_mut_5000,,,,"2,546",130,,"2,416","2,676"
,,,,,,,,,,
,,cc_no_threads_iter_streaming_mut_1_10000,,,,"35,033","2,323",,"32,710","37,356"
,,cc_no_threads_iter_streaming_mut_4_10000,,,,"34,856","6,666",,"28,190","41,522"
,,cc_no_threads_iter_streaming_mut_8_10000,,,,"35,107","1,920",,"33,187","37,027"
,,cc_no_threads_iter_streaming_mut_10_10000,,,,"35,557","3,299",,"32,258","38,856"
,,vec_no_threads_iter_mut_10000,,,,"5,085",310,,"4,775","5,395"
,,,,,,,,,,
,,cc_no_threads_iter_streaming_mut_1_50000,,,,"173,708","9,789",,"163,919","183,497"
,,cc_no_threads_iter_streaming_mut_4_50000,,,,"171,583","34,246",,"137,337","205,829"
,,cc_no_threads_iter_streaming_mut_8_50000,,,,"171,475","25,535",,"145,940","197,010"
,,cc_no_threads_iter_streaming_mut_10_50000,,,,"171,823","16,035",,"155,788","187,858"
,,vec_no_threads_iter_mut_50000,,,,"25,073","1,339",,"23,734","26,412"
,,,,,,,,,,
,,,,,,,,,,
2 Threads,Streaming Iter Mut,cc_2_threads_iter_streaming_mut_1_100,,,,"153,386","4,053",,"149,333","157,439"
,,cc_2_threads_iter_streaming_mut_4_100,,,,"153,253","4,482",,"148,771","157,735"
